date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:08	81/81	---M--	200	added ('OK')	text/plain	etag:%2262b7cea0-51%22	https://jayantgoel001.github.io/robots.txt		(from )
19:21:08	8338/8338	---M-Z	200	added ('OK')	text/html	etag:W/%2262b7cea0-2092%22	https://jayantgoel001.github.io/	E:/My%20website/New%20Working/jayantgoel001.github.io/index.html	(from )
19:21:08	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Jun%202022%2013:51:07%20GMT	http://jayantgoel001.github.io/assets/fonts/BlackOpsOne.woff2	E:/My%20website/New%20Working/jayantgoel001.github.io/assets/fonts/BlackOpsOne.0.delayed	(from https://jayantgoel001.github.io/)
19:21:09	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Jun%202022%2013:51:08%20GMT	http://jayantgoel001.github.io/manifest.webmanifest	E:/My%20website/New%20Working/jayantgoel001.github.io/manifest.webmanifest	(from https://jayantgoel001.github.io/)
19:21:09	8288/8288	---M--	200	added ('OK')	font/woff2	etag:%2262b7cea0-2060%22	https://jayantgoel001.github.io/assets/fonts/BlackOpsOne.woff2	E:/My%20website/New%20Working/jayantgoel001.github.io/assets/fonts/BlackOpsOne.woff2	(from https://jayantgoel001.github.io/)
19:21:09	1214/1214	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%2262b7cea0-4be%22	https://jayantgoel001.github.io/manifest.webmanifest	E:/My%20website/New%20Working/jayantgoel001.github.io/manifest.webmanifest	(from https://jayantgoel001.github.io/)
19:21:09	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Jun%202022%2013:51:08%20GMT	http://jayantgoel001.github.io/favicon-16x16.png	E:/My%20website/New%20Working/jayantgoel001.github.io/favicon-16x16.png	(from https://jayantgoel001.github.io/)
19:21:09	1364/1364	---M--	200	added ('OK')	image/png	etag:%2262b7cea0-554%22	https://jayantgoel001.github.io/favicon-16x16.png	E:/My%20website/New%20Working/jayantgoel001.github.io/favicon-16x16.png	(from https://jayantgoel001.github.io/)
19:21:09	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Jun%202022%2013:51:09%20GMT	http://jayantgoel001.github.io/favicon-32x32.png	E:/My%20website/New%20Working/jayantgoel001.github.io/favicon-32x32.png	(from https://jayantgoel001.github.io/)
19:21:10	2273/2273	---M--	200	added ('OK')	image/png	etag:%2262b7cea0-8e1%22	https://jayantgoel001.github.io/favicon-32x32.png	E:/My%20website/New%20Working/jayantgoel001.github.io/favicon-32x32.png	(from https://jayantgoel001.github.io/)
19:21:10	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Jun%202022%2013:51:09%20GMT	http://jayantgoel001.github.io/apple-touch-icon.png	E:/My%20website/New%20Working/jayantgoel001.github.io/apple-touch-icon.png	(from https://jayantgoel001.github.io/)
19:21:10	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Jun%202022%2013:51:09%20GMT	http://jayantgoel001.github.io/assets/images/safari-pinned-tab.svg	E:/My%20website/New%20Working/jayantgoel001.github.io/assets/images/safari-pinned-tab.svg	(from https://jayantgoel001.github.io/)
19:21:10	52528/52528	---M--	200	added ('OK')	image/png	etag:%2262b7cea0-cd30%22	https://jayantgoel001.github.io/apple-touch-icon.png	E:/My%20website/New%20Working/jayantgoel001.github.io/apple-touch-icon.png	(from https://jayantgoel001.github.io/)
19:21:13	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Jun%202022%2013:51:10%20GMT	http://jayantgoel001.github.io/assets/images/mstile-70x70.png	E:/My%20website/New%20Working/jayantgoel001.github.io/assets/images/mstile-70x70.png	(from https://jayantgoel001.github.io/)
19:21:13	902714/902714	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262b7cea0-dc63a%22	https://jayantgoel001.github.io/assets/images/safari-pinned-tab.svg	E:/My%20website/New%20Working/jayantgoel001.github.io/assets/images/safari-pinned-tab.svg	(from https://jayantgoel001.github.io/)
19:21:14	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2027%20Jun%202022%2013:51:13%20GMT	http://jayantgoel001.github.io/assets/images/mstile-144x144.png	E:/My%20website/New%20Working/jayantgoel001.github.io/assets/images/mstile-144x144.png	(from https://jayantgoel001.github.io/)
19:21:14	17968/17968	---M--	200	added ('OK')	image/png	etag:%2262b7cea0-4630%22	https://jayantgoel001.github.io/assets/images/mstile-70x70.png	E:/My%20website/New%20Working/jayantgoel001.github.io/assets/images/mstile-70x70.png	(from https://jayantgoel001.github.io/)
